time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
881,30.60912700,-96.31600550,17,67.30000,0.09059,19,0
1881,30.60912700,-96.31600550,17,67.30000,0.09059,19,0
2885,30.60912700,-96.31600550,17,67.30000,0.09059,19,0
3883,30.60912700,-96.31600550,17,67.30000,0.09059,19,0
4937,30.60913300,-96.31600950,18,67.30000,0.13345,19,0
5931,30.60913470,-96.31600730,19,67.30000,0.21808,19,0
6931,30.60913730,-96.31600260,19,67.30000,0.31191,19,0
7936,30.60913840,-96.31599940,20,67.30000,0.27620,19,0
